timestamp,db_type,instance_id,connection_id,operation,collection,query,execution_time_sec,status_code,status_message,error_message,affected_rows,rows_returned,correlation_id,cpu_time_ms,io_time_ms,memory_usage_kb,lock_time_ms,is_anomalous
2025-03-28T06:13:29.307637,redis,redis-queue-2,conn-7cff3ba4,query,payments,GET payments:e1e53e9a-74e3-44b0-9840-89095b39efa9,0.325229,0,Success,,,667.0,3b754e01-1c08-4568-8025-26069dd041ab,249.94,120.43,6079,0.0,False
2025-04-08T10:13:29.290642,redis,redis-pubsub-2,conn-c7a377a1,query,sessions,HGETALL sessions:71a998b6-0c49-48f7-8537-7444fa2f1667,11.755433,2,Error,Lock contention detected,,,446a7284-4f81-4be2-a551-6f304e5b23c7,6626.01,7012.42,43140,0.0,True
2025-04-08T04:13:29.232605,postgres,postgres-archive-2,conn-289772b3,query,users,"SELECT created_at, updated_at, category FROM users WHERE id = '0aa22f63-5abe-4afe-8f50-ad37b933e1b4' LIMIT 359",0.808089,0,Success,,,242.0,3f06175d-fed1-42b6-9f92-78355232f141,343.64,306.13,28328,228.99,False
2025-04-03T19:44:49.113645,cassandra,cassandra-node-1-4,conn-0e54b709,delete,orders,,0.337303,0,Success,,1046.0,,4528cde3-7131-46d2-84c3-fb7d8f7e2ef1,236.92,146.47,46933,0.0,False
2025-03-19T01:13:29.350640,mysql,mysql-analytics-2,conn-4d2d593f,update,payments,UPDATE payments SET type = 'guest' WHERE id = '67d8e4ca-6515-4aeb-8cb4-a6d588849861',0.145239,0,Success,,1.0,,6d62769c-43ec-4936-9576-7215e4948d6f,59.89,32.9,6560,0.0,False
2025-03-25T09:32:06.113645,redis,redis-session-2,conn-e99637c1,aggregate,sessions,,0.297707,0,Success,,,1531.0,aa4ba03c-342d-4e19-9e7f-cb1593911827,233.7,147.08,8821,0.0,False
2025-03-19T12:01:09.113645,redis,redis-session-5,conn-bae6830d,query,users,GET users:91a4b935-1920-4db8-855f-334605461c54,0.53554,0,Success,,,1746.0,1e3983a8-6a05-4ead-a999-1dd980bcfd2a,399.5,197.98,7810,133.15,False
2025-04-13T05:13:29.242636,redis,redis-pubsub-4,conn-978cb303,insert,metrics,"SET metrics:7dfbb97e-5ca1-4146-be8d-2617b52eba85 {""id"": ""820e59f4-e788-416a-8a22-e29b60f10165"", ""name"": ""Diana Riley"", ""timestamp"": 1744857809} EX 3600",0.108284,0,Success,,1.0,,9f7f1076-6468-4059-ac6b-21ee0da6dd6f,76.17,39.97,17519,0.0,False
2025-04-07T03:13:29.281605,cassandra,cassandra-node-3-3,conn-f718f84c,transaction,orders,,1.712461,0,Success,,,,78ba0851-8a28-4645-91f7-3c034de444a3,955.49,949.11,14246,0.0,False
2025-04-11T03:34:54.142607,postgres,postgres-archive-2,conn-b0fa0ebf,aggregate,orders,,0.424905,6,Authentication Error,Authentication failed,,,871a0727-3b13-4edd-8c90-c151cc8918cf,280.4,112.74,30888,32.4,True
