timestamp,payment_operation,environment,region,instance_id,request_id,request_method,request_path,client_id,client_type,source_ip,response_status_code,response_time_ms,user_id,booking_id,payment_id,correlation_id,is_anomalous
2025-03-23T14:20:28.729356,payment_status_check,test,eu-central,payment-secure-eu-central-1,req-274929a2477949cb,GET,/api/payments/payment-0daff976,client-3fac6bc4,internal,189.14.190.78,204,106.0,84fb24fc-8ece-452d-a10e-cec73afd24be,booking-7adfcb8e,payment-0daff976,96fe53b9-4c34-4577-8e17-bec735cfb707,False
2025-03-31T01:20:22.733902,process_payment,production,global,payment-primary-global-1,req-624dc923419f446b,POST,/api/payments,client-fcba4e3f,partner-api,253.236.197.141,204,439.0,ad465f0f-37d2-40da-8f6b-e50e1dd8a946,booking-8ce21c77,payment-4045b452,92c90bd9-3550-4043-95b2-0af9b643aac4,False
2025-03-25T16:20:23.695101,authorize_payment,test,global,payment-secure-global-3,req-5f84a083d98a4c76,POST,/api/payments/authorize,client-508b1a19,mobile-ios,51.68.12.81,204,271.0,d43694e6-438b-4eef-a353-86278cdb2c4c,booking-2d42976b,payment-fa0a178a,4390e5c2-482f-4fc5-a924-fd684591a108,False
2025-03-29T09:50:54.011737,process_payment,dev,ap-south,payment-secure-ap-south-5,req-497d0f7e60914118,POST,/api/payments,client-d96e52e2,web-app,67.228.44.175,204,477.0,3ab260bb-aa8b-4a00-a76b-4d37ba74728f,booking-2a8076de,payment-b084ab02,b29b4034-733f-431d-83b6-68c8578644d0,False
2025-03-21T23:20:22.498678,authorize_payment,production,eu-central,payment-primary-eu-central-1,req-edc3354a097547b8,POST,/api/payments/authorize,client-c68a613f,partner-api,161.243.165.188,200,275.0,e1a56122-d0d0-45cc-a4e2-29f5c0991e0e,booking-37221067,payment-143a5d74,69f6a772-296c-4183-960c-17345f557172,False
2025-03-26T01:20:22.631435,process_payment,staging,us-west,payment-secure-us-west-5,req-0494ff054ce14bb6,POST,/api/payments,client-d24a5625,web-app,87.22.111.53,201,382.0,ddfaeef5-3d4d-44d3-bf0b-14ed1b59142c,booking-459b9ea6,payment-557b606c,354ba507-8a48-4961-9792-3eb42d805e66,False
2025-03-28T06:36:27.013737,refund_payment,production,ap-south,payment-secure-ap-south-1,req-23e094cf037d4080,PUT,/api/payments/payment-9d124826/refund,client-a95941ae,mobile-android,73.115.45.108,201,251.0,00a173c1-70b1-4cbe-b4d6-913c23c69b2a,booking-b538399c,payment-9d124826,5490146c-4451-4853-9670-2dc907b6a3b4,False
2025-04-09T11:20:16.376972,authorize_payment,production,global,payment-primary-global-5,req-30cfee3f8f7c47d8,POST,/api/payments/authorize,client-25350e86,internal,213.23.250.64,200,250.0,20b1ccc7-348d-44c4-a6c2-5dec692e0c91,booking-e5e1f969,payment-ccc3a570,b6da4331-3e95-4e8f-8a0b-1a9c505f4c78,False
2025-03-23T10:20:24.086486,process_payment,production,ap-south,payment-replica-ap-south-2,req-520d24e05cd34721,POST,/api/payments,client-820122ad,partner-api,44.203.135.203,201,388.0,ce90d6ea-24d7-46f9-b541-3f0635210cb7,booking-d6446ea7,payment-86c4af11,d32ff8a8-5e48-4076-ac79-c6bc6c8cb43e,False
2025-04-09T18:32:22.128820,process_payment,staging,us-west,payment-secure-us-west-2,req-23100ca8af204ddb,POST,/api/payments,client-fecfba51,mobile-ios,78.179.159.99,200,351.0,fe146c62-5b30-4a22-9e18-528fca66e242,booking-1e6a4c07,payment-51a05c1a,05c3d739-63f2-4a75-bd6f-6320fe53c5d5,False
2025-04-03T12:06:37.107786,void_payment,test,ap-south,payment-replica-ap-south-4,req-a2f7f6de2b31439f,PUT,/api/payments/payment-da6af97c/void,client-14829d97,web-app,1.174.197.5,200,213.0,2a0cadd0-815e-4ee6-9729-de068bdbdb37,booking-2ba94e7e,payment-da6af97c,d6c53edb-3434-4a98-94cb-a9a2ec85d309,False
2025-03-29T02:20:17.065341,authorize_payment,staging,us-east,payment-replica-us-east-4,req-596abf02fda5493b,POST,/api/payments/authorize,client-7877206e,mobile-ios,102.202.11.175,204,259.0,f08455c3-fce2-4770-9929-3a63e5e316ea,booking-ad1cc66d,payment-9481266a,502dda5c-7314-42f6-a0e4-46bc0df271b5,False
