timestamp,auth_type,environment,region,instance_id,request_id,request_method,request_path,client_id,client_type,source_ip,response_status_code,response_time_ms,operation_type,operation_success,user_id,tenant_id,mfa_used,ip_reputation,correlation_id,is_anomalous
2025-04-15T14:34:03.371364,saml,dev,eu-central,auth-primary-eu-central-2,req-670e2454f4e4492d,POST,/auth/token,client-3b7847a5,internal-service,148.161.234.176,200,205.24,login,True,bd104df0-b76b-4aa9-a3c5-e01992688b6c,tenant-46,False,safe,03f84118-9f84-4d88-ba9c-714433c438e6,False
2025-03-29T07:03:47.892368,api-key,test,global,auth-failover-global-1,req-53788b33d6ae4a2c,POST,/auth/token/validate,client-66be30c3,admin-portal,47.76.218.94,200,51.12,token_validation,True,97539854-0df5-49c0-93ee-f3b95f67d40d,tenant-8,False,safe,66ed52ef-49fa-4efd-b326-07797e63a998,False
2025-03-26T14:03:46.108375,basic,test,us-east,auth-primary-us-east-2,req-8180851d1b354dc6,POST,/auth/register,client-4cb0a4ca,mobile-ios,6.15.198.94,201,296.84,register,True,ea2955e1-b938-45ff-83e1-aa4d2bc7de5c,tenant-47,False,safe,69326e88-d9b3-4d8b-bcec-f1d7759d1d70,False
2025-03-27T17:15:51.494364,basic,test,us-west,auth-replica-us-west-5,req-b332b0c21ea04640,POST,/auth/token,client-3c334c4f,admin-portal,21.115.58.115,200,163.86,login,True,aa3b7ea8-c53c-46f5-b554-b4ef710a2b39,tenant-76,False,safe,624bc252-b926-4b7c-8619-5b04df7a7cf8,False
2025-04-10T09:48:08.303365,basic,test,us-east,auth-failover-us-east-4,req-8874451532c842bd,POST,/auth/token,client-f22a4af0,internal-service,97.152.93.84,200,171.53,login,True,5124a8ef-911f-46dc-9ca8-ce71b65516b6,tenant-84,False,safe,e7f08b35-f2d4-49b9-bef1-2ccbd21ad735,False
2025-04-07T00:40:35.526364,jwt,test,us-west,auth-backup-us-west-1,req-c98eba63b8d349ef,GET,/auth/permissions/check,client-31c2238b,mobile-android,151.84.129.163,403,372.09,permission_check,False,65bf719d-c721-46c5-9ebe-91709df6df9c,tenant-12,False,safe,89f6bbad-6bd3-417b-983e-9ac50eff3879,True
2025-03-31T15:39:37.435364,api-key,test,global,auth-backup-global-1,req-7c6da5181bef4367,POST,/auth/token,client-9e6ba8c8,desktop-app,7.102.105.159,200,227.7,login,True,b77baffe-ce2f-442e-9dae-15b5af930499,tenant-30,False,safe,ef02033c-29f7-4552-ba9e-82869ced7d6c,False
2025-03-22T15:43:32.496364,saml,dev,us-east,auth-replica-us-east-2,req-89ef542fff2a4244,POST,/auth/token/refresh,client-537e272e,third-party-service,241.115.22.213,200,105.39,token_refresh,True,824fbdb2-6303-4118-bce3-bc3223d2d93c,tenant-26,False,safe,c410ed52-b5b6-429e-b008-8fb27190a495,False
2025-04-03T15:35:28.471364,oidc,dev,us-west,auth-primary-us-west-2,req-97544e7793044454,POST,/auth/token,client-82f3ebd2,admin-portal,26.244.207.114,200,218.54,login,True,1efa3f8a-ed6c-4f15-85d8-f95dfe26a5bb,tenant-21,False,safe,e6146bbd-da93-4e98-8f20-a626855ee1e9,False
2025-03-20T15:03:46.362368,oidc,test,global,auth-replica-global-5,req-afff08f5cd894191,POST,/auth/token/validate,client-8b31b354,web-app,252.59.143.77,200,40.73,token_validation,True,f25f7b15-6747-4a41-bf9c-6e9aa37e3587,tenant-75,False,safe,311943ff-82e9-47fe-9510-2afa65ead775,False
2025-03-22T08:03:44.866368,oidc,dev,us-east,auth-backup-us-east-5,req-1b93984fa7c1402e,GET,/auth/permissions/check,client-2214c139,internal-service,46.201.229.246,200,55.73,permission_check,True,b5183bb3-b989-42b9-9179-89a0c3ab561b,tenant-34,False,safe,ef5723ee-4bca-4ecf-a8d8-b409eefe430a,False
2025-04-08T20:58:44.521365,oauth2,test,us-west,auth-backup-us-west-2,req-69f1f58791bd4ee8,POST,/auth/logout,client-c53160d7,third-party-service,68.8.119.1,401,6.52,logout,False,39c1b865-f322-405b-84c1-c1cdc6b6d2a7,tenant-63,False,safe,c51d9a80-73a6-42c4-a8d7-7c53846e5b57,True
2025-03-24T08:50:44.497365,basic,staging,us-west,auth-primary-us-west-4,req-3657ed509eff466c,POST,/auth/token,client-40eab9a0,internal-service,149.122.102.229,200,183.63,login,True,4350f078-b125-4577-b476-71409d550912,tenant-45,False,safe,7694fd86-8433-408a-aa59-47775044aa66,False
